session_id	original_session_id
ses-2205121pz+5+2+1	ses-2205121pz_5_2_1
ses-2205121pz+6+1+1	ses-2205121pz_6_1_1
ses-2205121si+10+2+1	ses-2205121si_10_2_1
ses-2205121si+3+1+1	ses-2205121si_3_1_1
ses-2205121si+4+1+1	ses-2205121si_4_1_1
ses-2205121si+6+1+2	ses-2205121si_6_1_2
ses-2205121si+6+2+1	ses-2205121si_6_2_1
ses-2205121si+7+1+2	ses-2205121si_7_1_2
ses-2205121si+7+3+1	ses-2205121si_7_3_1
ses-2205121tm+3+1+1	ses-2205121tm_3_1_1
ses-2205121tm+4+1+2	ses-2205121tm_4_1_2
ses-2205121tm+5+1+1	ses-2205121tm_5_1_1
ses-2205121tm+6+1+1	ses-2205121tm_6_1_1
ses-2205122si+3+1+1	ses-2205122si_3_1_1
